flds,tags
<div><li>Q: What was the legend surrounding Empedocles' death?</li><li>A: {{c1::He allegedly leapt into Mount Etna's crater to prove his divinity}}</li></div>, history-of-education 
"<div>A {{c1::pseudo-context}} is a structure invented to give {{c2::fragmented and irrelevant information}} a seeming use, primarily for {{c3::amusement}}, e.g. {{c4::trivia, crossword puzzles}}</div>", amusing-ourselves 
"<div><li>Q: In the context of early civilizations, what does Campbell say about the role of the individual in primitive societies?</li><li>A: {{c1::In primitive societies, every adult could become a total human being, as the societies were small and individuals were in control of the entire cultural heritage.}}</li></div>",
"<div><ol><li>{{c5::Alison Gopnik}}'s research suggests that childhood is designed to be {{c4::a period of variability and possibility}}, {{c2::exploration and innovation}}, and {{c3::learning and imagination}}.</li></ol></div>", teach-your-own 
{{c7::Northrop Frye}}&#x27;s concept of {{c1::resonance}} refers to how {{c2::a particular statement in a particular context acquires a universal significance}}., amusing-ourselves 
<div><li>Q: What are <strong>desirable difficulties</strong>?</li><li>A: {{c1::Learning conditions that are challenging but enhance long-term retention and transfer.}}</li></div>, math-academy 
"<div><li>Q: What is the significance of the joke about Thomas Edison and the electric light in Postman's argument?</li><li>A: {{c1::It illustrates that technologies have inherent biases and are designed for specific uses, countering the idea that they are neutral tools.}}</li></div>", amusing-ourselves 
"<div>Early Greek {{c1::tyrants}}, like the {{c4::Medici of Renaissance Italy}}, often acquired their power through being the {{c2::richest members of their respective plutocracies}}.</div>", western-philosophy 
"The {{c4::Viking}} impact on Western culture was {{c1::dual in nature}}, being both {{c2::destructive}} and {{c3::contributive}} to the development of Western civilization", civilisation 
<div>The concept of {{c1::philosopher-kings}} in Plato's Republic suggests that the {{c2::best rulers}} are those who have achieved the {{c3::highest level of philosophical understanding}}.</div>, history-of-education 
"<img alt=""Basilica of San Vitale - Ravenna Turismo"" src=""ravenna-basilica_di_san_vitale-servizio_turismo-comunicattivi.jpg"">Church of San Vitale in Ravenna", civilisation 
Prompt litmus test:&nbsp;Where you might know the information but fail to produce the correct answerfalse negative, transformative-tools-for-thought 
"<div><li>Q: How does legibility benefit state taxation efforts?</li><li>A: {{c1::By standardizing and documenting property and individuals, making it easier to assess and collect taxes accurately.}}</li></div>", seeing-like-a-state 
<div><li>Q: How does Postman illustrate that television demands a performing art rather than the exposition of ideas?</li><li>A: {{c1::By showing that even intellectual discussions on TV are reduced to performances with time limits and emphasis on delivery over content.}}</li></div>, amusing-ourselves 
"The guide emphasizes that effective prompts should be {{c1::precise}} and {{c2::focused}}, requiring active recall rather than simple recognition.", summary 
"<div><ol><li>Holt realized that children are by nature {{c1::very curious about the world around them}}, and {{c2::energetic}}, {{c3::resourceful}}, and {{c4::competent}} in exploring it.</li></ol></div>", teach-your-own 
"<div><li>Q: Why does Postman argue that thinking does not ""play well"" on television?</li><li>A: {{c1::Because thinking lacks visual interest and doesn't align with television's need for constant, dynamic imagery.}}</li></div>", amusing-ourselves 
"<div><li>Q: How did Parmenides describe ""the One"" in his philosophy?</li><li>A: {{c1::""The One"" is the only true being—infinite, indivisible, unchanging, material, and extended. He describes it as a sphere where the whole is present everywhere.}}</li></div>", western-philosophy 
"<img src=""paste-e787d23bc48f2ac46d8a085d4c90e85e3acb81a1.jpg"">Canterbury Cathedral,&nbsp;Rebuilt after a fire in 1174, it's considered one of the first examples of Gothic architecture in England.", civilisation 
The printing press makes {{c1::stringent demands}} on our {{c2::bodies}} as well as our {{c3::minds}}., amusing-ourselves 
"<div><li>Q: What are ""bigram neurons"" in the context of reading, and what role do they play?</li><li>A: {{c1::Hypothetical neurons that respond to specific pairs of letters (bigrams), aiding in recognizing letter sequences and contributing to word recognition invariance.}}</li></div>", reading-in-the-brain 
"<div>The oldest known legal code is that of {{c1::Hammurabi}}, king of Babylon, dating to about {{c2::2100 B.C.}}.</div>", western-philosophy 
<div><li>Q: What does the case of Mr. C and modern imaging studies conclude about reading in the brain?</li><li>A: {{c1::Reading relies on a specialized area in the left occipito-temporal cortex critical for recognizing written words.}}</li></div>, reading-in-the-brain 
"<div>The ""{{c1::reading paradox}}"" refers to the fact that {{c3::our primate brain can read effectively}}, despite {{c2::writing being invented only a few thousand years ago, which is too short for evolutionary adaptation}}.</div>", reading-in-the-brain 
"{{c5::Maria Montessori}} was a {{c1::dogged critic}} of {{c2::traditional education}}, yet {{c3::progressive educators}} strongly {{c4::disliked}} her approach.&nbsp;", history-of-education 
"<div><li>Q: What did experiments by Polk and Farah demonstrate about mixed-case words and brain activation?</li><li>A: {{c1::They showed that mixed-case words (e.g., ""HoTeL"") activate the same brain area (the letterbox area) as same-case words, indicating case invariance.}}</li></div>", reading-in-the-brain 
"<div>* Q: What criticism did Herman Kahn have about the doctrine of MAD?<li>A: {{c1::He argued that MAD was uniquely vulnerable to accidents, rogue personnel, and sabotage, and that it was not rational to act on the threat of massive retaliation resulting in mutual destruction.}}</li></div>", playing-with-reality 
brains of patients with {{c1::parkinsonism}} were low in {{c2::dopamine}}. Treat with {{c3::L-dopa}}., playing-with-reality 
<div>* Q: Who was the Soviet officer who prevented a potential nuclear war in 1983 by identifying a missile warning as a false alarm?<li>A: {{c1::Stanislav Petrov}}</li></div>, playing-with-reality 
"The idea that ""{{c1::the polis makes a man}}"" reflects the belief that {{c2::living in a city-state}} shapes one's character through {{c3::laws and customs}} ({{c4::nomos}}).", history-of-education 
"<div>The Pythagorean theorem states that in a right-angled triangle, {{c1::the square of the hypotenuse is equal to the sum of squares of the other two sides}}.</div>", western-philosophy 
"<div>The {{c4::Lincoln-Douglas debates of 1858}} demonstrated the audience's ability to follow {{c1::complex arguments and lengthy orations, often lasting several hours}}.</div>", amusing-ourselves 
"<div><li>Q: How did Comenius's educational philosophy reflect Enlightenment thinking?</li><li>A: {{c1::It embraced reason, empirical observation, and the idea that education could improve individuals and society.}}</li></div>", history-of-education 
"<div>Early game theory focused primarily on {{c1::zero-sum games}}, which limited its applicability to {{c2::real-world economic situations}}.</div>", playing-with-reality 
"<div>The Homeric poems represent the viewpoint of a {{c1::civilized aristocracy}}, ignoring {{c2::plebeian superstitions}} that were still common among the populace.</div>", western-philosophy 
"<div>The {{c1::phonological lexicon}} stores information about word pronunciation, such as the fact that ""carrot"" is pronounced {{c2::carat}}.</div>", reading-in-the-brain 
<div>* Q: Why haven't cognitive learning strategies been widely adopted in traditional education?<li>A: {{c1::Due to adherence to traditional practices and convenient misconceptions about learning.}}</li></div>, math-academy 
<div>Plato's concept of the {{c1::intelligible world}} represents a realm of {{c2::perfect forms}} that can only be accessed through {{c3::reason and intellect}}.</div>, history-of-education 
"What is Neil Postman's point about smoke signals?""Puffs of smoke are insufficiently complex to express ideas on the nature of existence... You cannot use smoke to do philosophy. Its form excludes the content.""",
"<div><li>Q: What does the term ""pure alexia"" mean?</li><li>A: {{c1::An impairment where a person cannot read (alexia) but retains the ability to write (without agraphia).}}</li></div>", reading-in-the-brain 
"<div>The {{c3::Ainu bear ceremony}} reflects the belief that {{c1::there is no such thing as death}}, only a {{c2::return to the spiritual world}}.</div>", myths-we-live-by 
<div><li>Q: How did the use of surnames assist in military conscription?</li><li>A: {{c1::By enabling the state to accurately identify and locate individuals eligible for service.}}</li></div>, seeing-like-a-state 
<div>Kriegsspiel incorporated features such as:<li>{{c1::fog of war}}</li><li>{{c2::communication limitations}}</li><li>{{c3::dice rolls for determining attack outcomes}} </li>to simulate real battlefield conditions.<br/></div>, playing-with-reality 
"<div><li>Q: How did democratic processes affect power in Athens during Pericles' era?</li><li>A: {{c1::They gave power to the aristocracy, similar to 19th-century England}}</li></div>", western-philosophy 
<div>{{c4::St. Bernard}} criticized the {{c1::Cluniac style}} of art for its {{c2::excessive ornamentation}} and {{c3::distracting the faithful from meditating on Divine Law}}.</div>, civilisation 
"<div>* Q: What is the significance of Rousseau's book ""Emile, or On Education"" in educational philosophy?<li>A: {{c1::""Emile"" is a seminal work that presents Rousseau's educational philosophy, emphasizing natural development, individualism, and the importance of education aligned with the child's innate goodness and stages of development.}}</li></div>", history-of-education 
<div><li>Q: How did Comenius's approach to education differ from that of the medieval period?</li><li>A: {{c1::He focused on learning through sensory experience and understanding rather than rote memorization and bookish learning.}}</li></div>, history-of-education 
"<img alt=""Justinian Mosaic, San Vitale (article) | Khan Academy"" src=""c029fd41d60eeb8eaf9a3097b3504ca5114bae58.jpg"">Mosaic of Justinian", civilisation 
<div><li>Q: How does the brain achieve position invariance in reading?</li><li>A: {{c1::By transferring visual information from both the left and right visual fields to the left hemisphere's visual word form area.}}</li></div>, reading-in-the-brain 
"engineer {{c1::Edsger W. Dijkstra}} writes, “The {{c2::tools we use}} have a profound (and devious!) influence on our {{c3::thinking habits}}, and, therefore, on our thinking abilities.”", playing-with-reality 
"<div>* Q: What was Comenius's vision for the structure of education in terms of age divisions?<li>A: {{c1::Four distinct grades, each lasting six years: infancy, childhood, boyhood (adolescence), and youth}}</li></div>", history-of-education 
"<div><li>Q: What is the ""ventral occipito-temporal region,"" and why is it important?</li><li>A: {{c1::An area on the underside of the brain where visual information about object identity, including words and faces, is processed.}}</li></div>", reading-in-the-brain 
"<div><li>Q: How did the imposition of surnames in the Philippines illustrate state legibility?</li><li>A: {{c1::The Spanish colonial government assigned surnames to Filipinos to facilitate administration, often organizing them alphabetically by town.}}</li></div>", seeing-like-a-state 
"<div><li>Q: How did the redesign of Paris affect the working-class neighborhoods?</li><li>A: {{c1::It displaced many poor residents to the outskirts, breaking up revolutionary districts and making them easier to control.}}</li></div>", seeing-like-a-state 
"<div><li>Q: Explain how legibility can lead to both increased state capacity and potential abuses.</li><li>A: {{c1::While it enhances administrative efficiency, it also enables intrusive control and suppression of dissent.}}</li></div>", seeing-like-a-state 
"<img alt=""Bernward Doors - Wikipedia"" src=""640px-Bernwardstür.jpg"">(Bernward) Bronze Doors of Hildesheim Cathedral", civilisation 
"<div>Pythagoras discovered the importance of {{c1::numbers in music}}, leading to mathematical terms like {{c2::""harmonic mean"" and ""harmonic progression""}}.</div>", western-philosophy 
<div>Scientific forestry viewed forests through {{c1::fiscal lens}} focused on {{c2::revenue yield from timber}}.</div>, seeing-like-a-state 
"<img alt=""The Battle of Numbers – Feature Column"" src=""justin-du-coeur-set-scaled-1.jpg"">picture: rithmomachia, capture game related to chess", playing-with-reality 
"<div>The {{c5::micropolitics of measurement}} in feudal systems involved disputes over {{c1::basket sizes}}, {{c2::grain pouring methods}}, and {{c3::leveling techniques}}, which could significantly impact {{c4::feudal dues and power relations}}.</div>", seeing-like-a-state 
"<div><li>Q: What role did schools play in enforcing state legibility in the Philippines?</li><li>A: {{c1::Teachers were ordered to ensure students used only their official surnames, reinforcing state-assigned identities.}}</li></div>", seeing-like-a-state 
"<div>- Q: Explain how cadastral mapping could be seen as a tool of power centralization.A: {{c1::(Key points: standardized measurement, central record-keeping, undermining local autonomy, facilitating taxation)}}<br/></div>", seeing-like-a-state 
